yourlist:M20210331A94466D2655679D1FD8953E075198DA81B51CCG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Organism ID	Signal peptide	Proteomes	Taxonomic lineage (KINGDOM)	Taxonomic lineage (SUBKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)
P14661	P14661	CECP1_ASCSU	reviewed	Cecropin-P1	ASCEC-1	Ascaris suum (Pig roundworm) (Ascaris lumbricoides)	70	6253	SIGNAL 1..13;  /evidence="ECO:0000269|PubMed:12737319, ECO:0000269|PubMed:2512577"		Metazoa		Nematoda (roundworms)	Ascaris suum (Pig roundworm) (Ascaris lumbricoides)
Q8J0D2	Q8J0D2	CBHRE_GEOS1	reviewed	Oligoxyloglucan reducing end-specific cellobiohydrolase (OXG-RCBH) (EC 3.2.1.150)		Geotrichum sp. (strain M128)	812	203496	SIGNAL 1..23;  /evidence="ECO:0000269|PubMed:12374797"		Fungi	Dikarya	Ascomycota	Geotrichum sp. (strain M128)
A6P6V9	A6P6V9	CBDAS_CANSA	reviewed	Cannabidiolic acid synthase (EC 1.21.3.8) (CBDA synthase)	CBDAS	Cannabis sativa (Hemp) (Marijuana)	544	3483	SIGNAL 1..28;  /evidence="ECO:0000269|PubMed:17544411, ECO:0000269|PubMed:8663284"		Viridiplantae		Streptophyta	Cannabis sativa (Hemp) (Marijuana)
Q8IVL8	Q8IVL8	CBPO_HUMAN	reviewed	Carboxypeptidase O (CPO) (EC 3.4.17.-)	CPO	Homo sapiens (Human)	374	9606	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:21921028"	UP000005640: Chromosome 2	Metazoa		Chordata	Homo sapiens (Human)
A0A0F7YZQ7	A0A0F7YZQ7	CELE_CONVC	reviewed	Elevenin-Vc1		Conus victoriae (Queen Victoria cone)	100	319920	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:26301480"		Metazoa		Mollusca	Conus victoriae (Queen Victoria cone)
Q8WUJ3	Q8WUJ3	CEMIP_HUMAN	reviewed	Cell migration-inducing and hyaluronan-binding protein (EC 3.2.1.35)	CEMIP KIAA1199	Homo sapiens (Human)	1361	9606	SIGNAL 1..30;  /evidence="ECO:0000269|PubMed:24269685"	UP000005640: Chromosome 15	Metazoa		Chordata	Homo sapiens (Human)
Q6QD51	Q6QD51	CCD80_RAT	reviewed	Coiled-coil domain-containing protein 80 (Down-regulated by oncogenes 1 protein) (Steroid-sensitive gene 1 protein) (SSG-1)	Ccdc80 Dro1 Ssg1	Rattus norvegicus (Rat)	949	10116	SIGNAL 1..27;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Chromosome 11	Metazoa		Chordata	Rattus norvegicus (Rat)
Q4V4I9	Q4V4I9	CCHA1_DROME	reviewed	Neuropeptide CCHamide-1	CCHa1 CG14358	Drosophila melanogaster (Fruit fly)	182	7227	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:21214272, ECO:0000269|PubMed:23293632"	UP000000803: Chromosome 3R	Metazoa		Arthropoda	Drosophila melanogaster (Fruit fly)
Q28085	Q28085	CFAH_BOVIN	reviewed	Complement factor H (H factor 1)	CFH HF1	Bos taurus (Bovine)	1236	9913	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:8615824"	UP000009136: Unplaced	Metazoa		Chordata	Bos taurus (Bovine)
Q9D6Y1	Q9D6Y1	CCDC3_MOUSE	reviewed	Coiled-coil domain-containing protein 3 (Fat/vessel-derived secretory protein) (Favine)	Ccdc3	Mus musculus (Mouse)	273	10090	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:20043878"	UP000000589: Chromosome 2	Metazoa		Chordata	Mus musculus (Mouse)
P00450	P00450	CERU_HUMAN	reviewed	Ceruloplasmin (EC 1.16.3.1) (Ferroxidase)	CP	Homo sapiens (Human)	1065	9606	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:6582496"	UP000005640: Chromosome 3	Metazoa		Chordata	Homo sapiens (Human)
Q27081	Q27081	CFB_TACTR	reviewed	Clotting factor B (EC 3.4.21.85) (Coagulation factor B) [Cleaved into: Clotting factor B light chain; Clotting factor B heavy chain]		Tachypleus tridentatus (Japanese horseshoe crab)	400	6853	SIGNAL 1..23;  /evidence="ECO:0000269|PubMed:8407978"		Metazoa		Arthropoda	Tachypleus tridentatus (Japanese horseshoe crab)
O75596	O75596	CLC3A_HUMAN	reviewed	C-type lectin domain family 3 member A (C-type lectin superfamily member 1) (Cartilage-derived C-type lectin)	CLEC3A CLECSF1 UNQ700/PRO1345	Homo sapiens (Human)	197	9606	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:19173304"	UP000005640: Chromosome 16	Metazoa		Chordata	Homo sapiens (Human)
Q02246	Q02246	CNTN2_HUMAN	reviewed	Contactin-2 (Axonal glycoprotein TAG-1) (Axonin-1) (Transient axonal glycoprotein 1) (TAX-1)	CNTN2 AXT TAG1 TAX1	Homo sapiens (Human)	1040	9606	SIGNAL 1..30;  /evidence="ECO:0000269|PubMed:15340161"	UP000005640: Chromosome 1	Metazoa		Chordata	Homo sapiens (Human)
P02466	P02466	CO1A2_RAT	reviewed	Collagen alpha-2(I) chain (Alpha-2 type I collagen)	Col1a2	Rattus norvegicus (Rat)	1372	10116	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
P02462	P02462	CO4A1_HUMAN	reviewed	Collagen alpha-1(IV) chain [Cleaved into: Arresten]	COL4A1	Homo sapiens (Human)	1669	9606	SIGNAL 1..27;  /evidence="ECO:0000269|PubMed:4043082"	UP000005640: Chromosome 13	Metazoa		Chordata	Homo sapiens (Human)
Q6UWK7	Q6UWK7	GP15L_HUMAN	reviewed	Protein GPR15L (Antimicrobial peptide with 57 amino acid residues) (AP-57) (Antimicrobial peptide-57) (Colon-derived SUSD2 binding factor) (CSBF) (Secreted protein C10orf99)	GPR15L C10orf99 UNQ1833/PRO3446	Homo sapiens (Human)	81	9606	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:25351403"	UP000005640: Chromosome 10	Metazoa		Chordata	Homo sapiens (Human)
P12024	P12024	CHAO_DROME	reviewed	Chaoptin (Photoreceptor cell-specific membrane protein)	chp CHT CG1744	Drosophila melanogaster (Fruit fly)	1315	7227	SIGNAL 1..29;  /evidence="ECO:0000269|PubMed:6420071"	UP000000803: Chromosome 3R	Metazoa		Arthropoda	Drosophila melanogaster (Fruit fly)
Q9U572	Q9U572	CLOT_PENMO	reviewed	Hemolymph clottable protein		Penaeus monodon (Giant tiger prawn)	1670	6687	SIGNAL 1..14;  /evidence="ECO:0000269|PubMed:9972292"		Metazoa		Arthropoda	Penaeus monodon (Giant tiger prawn)
P13611	P13611	CSPG2_HUMAN	reviewed	Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein) (GHAP) (Large fibroblast proteoglycan) (PG-M)	VCAN CSPG2	Homo sapiens (Human)	3396	9606	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:1429726"	UP000005640: Chromosome 5	Metazoa		Chordata	Homo sapiens (Human)
P86798	P86798	CTEN1_CUPSA	reviewed	Ctenidin-1 (Ctenidin-2)		Cupiennius salei (American wandering spider)	140	6928	SIGNAL 1..19;  /evidence="ECO:0000255, ECO:0000269|PubMed:20369272"		Metazoa		Arthropoda	Cupiennius salei (American wandering spider)
A0A0F7YYX3	A0A0F7YYX3	CPROH_CONVC	reviewed	Neuropeptide prohormone-4		Conus victoriae (Queen Victoria cone)	196	319920	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:26301480"		Metazoa		Mollusca	Conus victoriae (Queen Victoria cone)
Q00657	Q00657	CSPG4_RAT	reviewed	Chondroitin sulfate proteoglycan 4 (Chondroitin sulfate proteoglycan NG2) (HSN tumor-specific antigen)	Cspg4 Ng2	Rattus norvegicus (Rat)	2326	10116	SIGNAL 1..29;  /evidence="ECO:0000269|PubMed:1906475"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
Q875I9	Q875I9	CSN_ASPFM	reviewed	Endo-chitosanase (EC 3.2.1.132)	csn	Neosartorya fumigata (Aspergillus fumigatus)	238	746128	SIGNAL 1..17;  /evidence="ECO:0000269|PubMed:11115392, ECO:0000269|PubMed:16396247"		Fungi	Dikarya	Ascomycota	Neosartorya fumigata (Aspergillus fumigatus)
P69770	P69770	CX2_CONMR	reviewed	Conotoxin Gla-MrII (Conotoxin Mr12.5)		Conus marmoreus (Marble cone)	94	42752	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:15194478"		Metazoa		Mollusca	Conus marmoreus (Marble cone)
Q6T6T4	Q6T6T4	CYT_BITGA	reviewed	Bitiscystatin (Cystatin)		Bitis gabonica (Gaboon adder) (Gaboon viper)	140	8694	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:17203976"		Metazoa		Chordata	Bitis gabonica (Gaboon adder) (Gaboon viper)
B8AL97	B8AL97	CUCIN_ORYSI	reviewed	Cupincin (EC 3.4.-.-) (52 kDa globulin-like protein) (allergen Ory s NRA)	OsI_13867	Oryza sativa subsp. indica (Rice)	470	39946	SIGNAL 1..34;  /evidence="ECO:0000269|PubMed:27064905"	UP000007015: Chromosome 3	Viridiplantae		Streptophyta	Oryza sativa (Rice)
Q9SUQ8	Q9SUQ8	DIR6_ARATH	reviewed	Dirigent protein 6 (AtDIR6)	DIR6 At4g23690 F9D16.160	Arabidopsis thaliana (Mouse-ear cress)	187	3702	SIGNAL 1..29;  /evidence="ECO:0000269|PubMed:19946920"	UP000006548: Chromosome 4	Viridiplantae		Streptophyta	Arabidopsis thaliana (Mouse-ear cress)
G9M8X1	G9M8X1	EFCB_NEPCI	reviewed	Calcium-binding protein SP84 (84 kDa salivary protein) (NcSP84)		Nephotettix cincticeps (Green rice leafhopper) (Selenocephalus cincticeps)	687	94400	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:22019571"		Metazoa		Arthropoda	Nephotettix cincticeps (Green rice leafhopper) (Selenocephalus cincticeps)
F7J1C8	F7J1C8	E3GAL_FLAVE	reviewed	Galactan endo-beta-1,3-galactanase (EC 3.2.1.181) (Endo-beta-1,3-galactanase) (FvEN3GAL)	EN3GAL	Flammulina velutipes (Agaricus velutipes)	249	38945	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:21653698"		Fungi	Dikarya	Basidiomycota	Flammulina velutipes (Agaricus velutipes)
F1N5C8	F1N5C8	ENPP6_BOVIN	reviewed	Glycerophosphocholine choline phosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6)	ENPP6	Bos taurus (Bovine)	445	9913	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:23161088"	UP000009136: Chromosome 27, UP000321980: Unassembled WGS sequence	Metazoa		Chordata	Bos taurus (Bovine)
O15197	O15197	EPHB6_HUMAN	reviewed	Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6)	EPHB6	Homo sapiens (Human)	1021	9606	SIGNAL 1..31;  /evidence="ECO:0000269|PubMed:15340161"	UP000005640: Unplaced	Metazoa		Chordata	Homo sapiens (Human)
Q5JNJ5	Q5JNJ5	ENL1_ORYSJ	reviewed	Early nodulin-like protein 1 (OsENODL1) (Phytocyanin-like protein)	ENODL1 Os01g0748150 LOC_Os01g54430 P0481E12.22	Oryza sativa subsp. japonica (Rice)	237	39947	SIGNAL 1..28;  /evidence="ECO:0000269|PubMed:15653800"	UP000000763: Chromosome 1, UP000059680: Chromosome 1	Viridiplantae		Streptophyta	Oryza sativa (Rice)
O97939	O97939	ENAM_PIG	reviewed	Enamelin [Cleaved into: 89 kDa enamelin; 142 kDa enamelin; 155 kDa enamelin; 56 kDa enamelin; 32 kDa enamelin; 25 kDa enamelin; 34 kDa enamelin]	ENAM	Sus scrofa (Pig)	1142	9823	SIGNAL 1..38;  /evidence="ECO:0000269|PubMed:9206327"	UP000008227: Unplaced, UP000314985: Unplaced	Metazoa		Chordata	Sus scrofa (Pig)
Q9GU69	Q9GU69	EGF_LYMST	reviewed	Epidermal growth factor (L-EGF)		Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	64	6523	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:10964941"		Metazoa		Mollusca	Lymnaea stagnalis (Great pond snail) (Helix stagnalis)
Q99372	Q99372	ELN_RAT	reviewed	Elastin (Tropoelastin)	Eln	Rattus norvegicus (Rat)	870	10116	SIGNAL 1..27;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
Q9Y6C2	Q9Y6C2	EMIL1_HUMAN	reviewed	EMILIN-1 (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1)	EMILIN1 EMI	Homo sapiens (Human)	1016	9606	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:26462740"	UP000005640: Chromosome 2	Metazoa		Chordata	Homo sapiens (Human)
Q7SZN0	Q7SZN0	FA5V_PSETE	reviewed	Venom prothrombin activator pseutarin-C non-catalytic subunit (PCNS) (vPA) (Venom coagulation factor Va-like protein) [Cleaved into: Pseutarin-C non-catalytic subunit heavy chain; Pseutarin-C non-catalytic subunit light chain]		Pseudonaja textilis (Eastern brown snake)	1460	8673	SIGNAL 1..30;  /evidence="ECO:0000269|PubMed:12730119"		Metazoa		Chordata	Pseudonaja textilis (Eastern brown snake)
P35555	P35555	FBN1_HUMAN	reviewed	Fibrillin-1 [Cleaved into: Asprosin]	FBN1 FBN	Homo sapiens (Human)	2871	9606	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:10636927"	UP000005640: Chromosome 15	Metazoa		Chordata	Homo sapiens (Human)
Q8TAL6	Q8TAL6	FIBIN_HUMAN	reviewed	Fin bud initiation factor homolog	FIBIN PSEC0235	Homo sapiens (Human)	211	9606	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:21615908"	UP000005640: Chromosome 11	Metazoa		Chordata	Homo sapiens (Human)
P37889	P37889	FBLN2_MOUSE	reviewed	Fibulin-2 (FIBL-2)	Fbln2	Mus musculus (Mouse)	1221	10090	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:8245130"	UP000000589: Chromosome 6	Metazoa		Chordata	Mus musculus (Mouse)
P04937	P04937	FINC_RAT	reviewed	Fibronectin (FN) [Cleaved into: Anastellin]	Fn1	Rattus norvegicus (Rat)	2477	10116	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
P05790	P05790	FIBH_BOMMO	reviewed	Fibroin heavy chain (Fib-H) (H-fibroin)	FIBH	Bombyx mori (Silk moth)	5263	7091	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:16466694, ECO:0000269|Ref.7"	UP000005204: Unassembled WGS sequence	Metazoa		Arthropoda	Bombyx mori (Silk moth)
P86875	P86875	HUGA_VESMG	reviewed	Hyaluronidase (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (allergen Vesp ma 2)		Vespa magnifica (Hornet)	357	202807	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:22384100"		Metazoa		Arthropoda	Vespa magnifica (Hornet)
Q60767	Q60767	LY75_MOUSE	reviewed	Lymphocyte antigen 75 (Ly-75) (DEC-205) (CD antigen CD205)	Ly75 Cd205	Mus musculus (Mouse)	1723	10090	SIGNAL 1..27;  /evidence="ECO:0000269|PubMed:7553896, ECO:0000269|PubMed:7753172"	UP000000589: Chromosome 2	Metazoa		Chordata	Mus musculus (Mouse)
P00719	P00719	LYG_STRCA	reviewed	Lysozyme g (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase) (Goose-type lysozyme)		Struthio camelus (Common ostrich)	204	8801	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:7075596, ECO:0000269|PubMed:904618"		Metazoa		Chordata	Struthio camelus (Common ostrich)
P16636	P16636	LYOX_RAT	reviewed	Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase) [Cleaved into: Protein-lysine 6-oxidase, long form; Protein-lysine 6-oxidase, short form]	Lox	Rattus norvegicus (Rat)	411	10116	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Chromosome 18	Metazoa		Chordata	Rattus norvegicus (Rat)
O35806	O35806	LTBP2_RAT	reviewed	Latent-transforming growth factor beta-binding protein 2 (LTBP-2)	Ltbp2	Rattus norvegicus (Rat)	1764	10116	SIGNAL 1..35;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
P48765	P48765	NAC1_BOVIN	reviewed	Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1)	SLC8A1	Bos taurus (Bovine)	970	9913	SIGNAL 1..32;  /evidence="ECO:0000269|PubMed:1929404"	UP000009136: Unplaced	Metazoa		Chordata	Bos taurus (Bovine)
P15941	P15941	MUC1_HUMAN	reviewed	Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]	MUC1 PUM	Homo sapiens (Human)	1255	9606	SIGNAL 1..23;  /evidence="ECO:0000269|PubMed:10373415, ECO:0000269|PubMed:11341784"	UP000005640: Chromosome 1	Metazoa		Chordata	Homo sapiens (Human)
Q99972	Q99972	MYOC_HUMAN	reviewed	Myocilin (Myocilin 55 kDa subunit) (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]	MYOC GLC1A TIGR	Homo sapiens (Human)	504	9606	SIGNAL 1..32;  /evidence="ECO:0000269|PubMed:19287508, ECO:0000269|PubMed:9497363"	UP000005640: Chromosome 1	Metazoa		Chordata	Homo sapiens (Human)
P24330	P24330	MYX_CROAD	reviewed	Myotoxin (CAM-toxin)		Crotalus adamanteus (Eastern diamondback rattlesnake)	70	8729	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:1862521, ECO:0000269|PubMed:24231107"		Metazoa		Chordata	Crotalus adamanteus (Eastern diamondback rattlesnake)
Q02083	Q02083	NAAA_HUMAN	reviewed	N-acylethanolamine-hydrolyzing acid amidase (EC 3.5.1.60) (Acid ceramidase-like protein) (Acylsphingosine deacylase NAAA) (EC 3.5.1.23) (N-acylsphingosine amidohydrolase-like) (ASAH-like protein) [Cleaved into: N-acylethanolamine-hydrolyzing acid amidase subunit alpha; N-acylethanolamine-hydrolyzing acid amidase subunit beta]	NAAA ASAHL PLT	Homo sapiens (Human)	359	9606	SIGNAL 1..28;  /evidence="ECO:0000269|PubMed:22040171"	UP000005640: Chromosome 4	Metazoa		Chordata	Homo sapiens (Human)
Q9N4D8	Q9N4D8	NLP40_CAEEL	reviewed	Neuropeptide-like peptides nlp-40 [Cleaved into: Peptide P1 (P1); Peptide P2 (P2); Peptide P3 (P3); Peptide P4 (P4)]	nlp-40 Y74C9A.2	Caenorhabditis elegans	123	6239	SIGNAL 1..17;  /evidence="ECO:0000269|PubMed:16061202, ECO:0000269|PubMed:17564681"	UP000001940: Chromosome I	Metazoa		Nematoda (roundworms)	Caenorhabditis elegans
Q07310	Q07310	NRX3A_RAT	reviewed	Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha)	Nrxn3	Rattus norvegicus (Rat)	1578	10116	SIGNAL 1..27;  /evidence="ECO:0000269|PubMed:9856994"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
P20241	P20241	NRG_DROME	reviewed	Neuroglian	Nrg CG1634	Drosophila melanogaster (Fruit fly)	1302	7227	SIGNAL 1..23;  /evidence="ECO:0000269|PubMed:2805067"	UP000000803: Chromosome X	Metazoa		Arthropoda	Drosophila melanogaster (Fruit fly)
F1NSM7	F1NSM7	OC116_CHICK	reviewed	Ovocleidin-116 (OC-116)		Gallus gallus (Chicken)	743	9031	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:10551857, ECO:0000269|PubMed:12225802"	UP000000539: Chromosome 4	Metazoa		Chordata	Gallus gallus (Chicken)
P0DKU2	P0DKU2	PA2_PANIM	reviewed	Phospholipase A2 phospholipin (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) [Cleaved into: Phospholipase A2 large subunit; Phospholipase A2 small subunit]		Pandinus imperator (Emperor scorpion)	145	55084	SIGNAL 1..15;  /evidence="ECO:0000269|PubMed:10556514"		Metazoa		Arthropoda	Pandinus imperator (Emperor scorpion)
P20740	P20740	OVOS_CHICK	reviewed	Ovostatin (Ovomacroglobulin)		Gallus gallus (Chicken)	1473	9031	SIGNAL 1..36;  /evidence="ECO:0000269|PubMed:6408074"	UP000000539: Unplaced	Metazoa		Chordata	Gallus gallus (Chicken)
P0C8G7	P0C8G7	PV22_POMCA	reviewed	Perivitellin-2 31 kDa subunit (PcPV2 31 kDa subunit) (PcPV2-31) (PV2 tachylectin subunit)		Pomacea canaliculata (Golden apple snail)	286	400727	SIGNAL 1..30;  /evidence="ECO:0000269|PubMed:11857466"		Metazoa		Mollusca	Pomacea canaliculata (Golden apple snail)
P36897	P36897	TGFR1_HUMAN	reviewed	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4	Homo sapiens (Human)	503	9606	SIGNAL 1..33;  /evidence="ECO:0000269|PubMed:9661882"	UP000005640: Chromosome 9	Metazoa		Chordata	Homo sapiens (Human)
Q9VMD9	Q9VMD9	TIG_DROME	reviewed	Tiggrin	Tig CG11527	Drosophila melanogaster (Fruit fly)	2188	7227	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:7924982"	UP000000803: Chromosome 2L	Metazoa		Arthropoda	Drosophila melanogaster (Fruit fly)
P24821	P24821	TENA_HUMAN	reviewed	Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)	TNC HXB	Homo sapiens (Human)	2201	9606	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:1707164"	UP000005640: Chromosome 9	Metazoa		Chordata	Homo sapiens (Human)
Q2PGV8	Q2PGV8	XYN2_AURPU	reviewed	Endo-1,4-beta-xylanase 2 (Xylanase 2) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase 2)	xynII	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	361	5580	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:15988573"		Fungi	Dikarya	Ascomycota	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)
Q99MA2	Q99MA2	XPP2_RAT	reviewed	Xaa-Pro aminopeptidase 2 (EC 3.4.11.9) (Membrane-bound aminopeptidase P) (Membrane-bound APP) (mAPP) (X-prolyl aminopeptidase 2)	Xpnpep2	Rattus norvegicus (Rat)	674	10116	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:7669781"	UP000002494: Chromosome X, UP000234681: Chromosome x, UP000234681: Unassembled WGS sequence	Metazoa		Chordata	Rattus norvegicus (Rat)
Q59Y31	Q59Y31	YWP1_CANAL	reviewed	Yeast-form wall Protein 1 (GPI-anchored protein 24) (Thiol-extractable peptide 1) (flocculation protein 1)	YWP1 FLO1 PGA24 TEP1 CAALFM_C208590WA CaO19.11101 CaO19.3618	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	533	237561	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:15870471"	UP000000559: Chromosome 2	Fungi	Dikarya	Ascomycota	Candida albicans (Yeast)
P79762	P79762	ZP3_CHICK	reviewed	Zona pellucida sperm-binding protein 3 (Sperm receptor) (Zona pellucida C protein) (Zona pellucida glycoprotein 3) (Zp-3) [Cleaved into: Processed zona pellucida sperm-binding protein 3]	ZP3 ZPC	Gallus gallus (Chicken)	437	9031	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:10103002"	UP000000539: Chromosome 10	Metazoa		Chordata	Gallus gallus (Chicken)
